nivel,grupo,indicador,resultado,cv
"dpto","12","cocina_lena",.519313,.0374361
"dpto","13","piso_tierra",.3026,.0500939
"dpto","13","agua_red_publica",.9151632,.0131592
"dpto","13","desague_red_publica",.7660699,.0225737
"dpto","13","electricidad",.9766144,.0053715
"dpto","13","cocina_lena",.3930102,.0410708
"dpto","14","piso_tierra",.2334639,.0687032
"dpto","14","agua_red_publica",.9121722,.0148379
"dpto","14","desague_red_publica",.7922565,.0221121
"dpto","14","electricidad",.9698185,.0073704
"dpto","14","cocina_lena",.2486054,.0659675
"dpto","15","piso_tierra",.0473791,.0880127
"dpto","15","agua_red_publica",.9254487,.0108433
"dpto","15","desague_red_publica",.9106618,.0111542
"dpto","15","electricidad",.994763,.0016155
"dpto","15","cocina_lena",.0668742,.0735974
"dpto","16","piso_tierra",.1942026,.0813654
"dpto","16","agua_red_publica",.5302704,.050744
"dpto","16","desague_red_publica",.4467031,.0579686
"dpto","16","electricidad",.7918227,.0186647
"dpto","16","cocina_lena",.5439572,.0334169
"dpto","17","piso_tierra",.0870356,.1542045
"dpto","17","agua_red_publica",.8483496,.0222412
"dpto","17","desague_red_publica",.4512286,.1136396
"dpto","17","electricidad",.9238105,.0141648
"dpto","17","cocina_lena",.1622396,.1058716
"dpto","18","piso_tierra",.2005593,.0948368
"dpto","18","agua_red_publica",.9197557,.0167497
"dpto","18","desague_red_publica",.8556091,.0201212
"dpto","18","electricidad",.9444624,.0139719
"dpto","18","cocina_lena",.3287166,.0567892
"dpto","19","piso_tierra",.1761187,.1423021
"dpto","19","agua_red_publica",.7675275,.0296182
"dpto","19","desague_red_publica",.6199957,.0473375
"dpto","19","electricidad",.899299,.0189184
"dpto","19","cocina_lena",.5529036,.0519945
"dpto","20","piso_tierra",.3524346,.0439303
"dpto","20","agua_red_publica",.8331801,.0188635
"dpto","20","desague_red_publica",.6086626,.036466
"dpto","20","electricidad",.9449468,.0089535
"dpto","20","cocina_lena",.4158211,.0454678
"dpto","21","piso_tierra",.4772804,.0518928
"dpto","21","agua_red_publica",.6921475,.0398001
"dpto","21","desague_red_publica",.4853741,.0559492
"dpto","21","electricidad",.9243383,.0118247
"dpto","21","cocina_lena",.4509047,.0577031
"dpto","22","piso_tierra",.3573546,.0605752
"dpto","22","agua_red_publica",.8760288,.0204821
"dpto","22","desague_red_publica",.4986727,.0548285
"dpto","22","electricidad",.9517644,.0087886
"dpto","22","cocina_lena",.6707473,.0278283
"dpto","23","piso_tierra",.1023418,.1161268
"dpto","23","agua_red_publica",.9159888,.0171166
"dpto","23","desague_red_publica",.900229,.0164882
"dpto","23","electricidad",.9650666,.0106878
"dpto","23","cocina_lena",.2097864,.0750505
"dpto","24","piso_tierra",.2378263,.0769365
"dpto","24","agua_red_publica",.8202732,.0361016
"dpto","24","desague_red_publica",.7149379,.0390224
"dpto","24","electricidad",.9848447,.0050316
"dpto","24","cocina_lena",.1920471,.106804
"dpto","25","piso_tierra",.2028626,.0834105
"dpto","25","agua_red_publica",.7365165,.0315357
"dpto","25","desague_red_publica",.3875137,.0721091
"dpto","25","electricidad",.8938653,.014228
"dpto","25","cocina_lena",.5698072,.0370851
"dist","010101","piso_tierra",.1087004,.3065797
"dist","010101","agua_red_publica",.9495475,.0397583
"dist","010101","desague_red_publica",.93356,.0414157
"dist","010101","electricidad",.9938208,.0062204
"dist","010101","cocina_lena",.2932369,.1822222
"dist","010103","piso_tierra",.625,2.48e-17
"dist","010103","agua_red_publica",1,0
"dist","010103","desague_red_publica",.2626279,.6713897
"dist","010103","electricidad",1,0
"dist","010103","cocina_lena",.940657,.0468624
"dist","010109","piso_tierra",.6796041,.2892478
"dist","010109","agua_red_publica",.9260202,.0444655
"dist","010109","desague_red_publica",.6440063,.3788581
"dist","010109","electricidad",.9773898,.0254574
"dist","010109","cocina_lena",.9023419,.0860993
"dist","010110","piso_tierra",.5416796,.4551447
"dist","010110","agua_red_publica",.748399,.1634894
"dist","010110","desague_red_publica",.5352757,.4618312
"dist","010110","electricidad",.6507088,.4279996
"dist","010110","cocina_lena",.9020322,.0874651
"dist","010112","piso_tierra",.7571813,.1163481
"dist","010112","agua_red_publica",.8017281,.1648251
"dist","010112","desague_red_publica",.8017281,.1648251
"dist","010112","electricidad",.8678187,.101515
"dist","010112","cocina_lena",.7571813,.1163481
"dist","010114","piso_tierra",.7142857,1.94e-17
"dist","010114","agua_red_publica",1,0
"dist","010114","desague_red_publica",0,
"dist","010114","electricidad",1,0
"dist","010114","cocina_lena",1,0
"dist","010115","piso_tierra",.625,0
"dist","010115","agua_red_publica",1,0
"dist","010115","desague_red_publica",1,0
"dist","010115","electricidad",1,0
"dist","010115","cocina_lena",.75,0
"dist","010120","piso_tierra",.75,0
"dist","010120","agua_red_publica",1,0
"dist","010120","desague_red_publica",.75,0
"dist","010120","electricidad",1,0
"dist","010120","cocina_lena",.875,0
"dist","010201","piso_tierra",.2464648,.275077
"dist","010201","agua_red_publica",.9844472,.0158706
"dist","010201","desague_red_publica",.9000051,.0672177
"dist","010201","electricidad",1,0
"dist","010201","cocina_lena",.4121813,.2407086
"dist","010202","piso_tierra",.6959739,.045279
"dist","010202","agua_red_publica",.8011336,.0992997
"dist","010202","desague_red_publica",.0325249,1.233408
"dist","010202","electricidad",.3326831,.3693729
"dist","010202","cocina_lena",.9674751,.0414651
"dist","010203","piso_tierra",.3127518,.2303483
"dist","010203","agua_red_publica",.8122482,.0886943
"dist","010203","desague_red_publica",.6678237,.1707789
"dist","010203","electricidad",.9075684,.0661127
"dist","010203","cocina_lena",.9212158,.0325666
"dist","010205","piso_tierra",.7049314,.1354943
"dist","010205","agua_red_publica",.492071,.120824
"dist","010205","desague_red_publica",.0692878,.5986509
"dist","010205","electricidad",.2771511,.5986509
"dist","010205","cocina_lena",.9307122,.0445672
"dist","010206","piso_tierra",.2887269,.5686758
"dist","010206","agua_red_publica",1,0
"dist","010206","desague_red_publica",.5710157,.3902326
"dist","010206","electricidad",1,0
"dist","010206","cocina_lena",.7154908,.0917927
"dist","010301","piso_tierra",0,
"dist","010301","agua_red_publica",1,0
"dist","010301","desague_red_publica",1,0
"dist","010301","electricidad",1,0
"dist","010301","cocina_lena",.7142857,5.82e-17
"dist","010302","piso_tierra",1,0
"dist","010302","agua_red_publica",1,0
"dist","010302","desague_red_publica",.6666667,0
"dist","010302","electricidad",1,0
"dist","010302","cocina_lena",1,0
"dist","010304","piso_tierra",.5,0
"dist","010304","agua_red_publica",1,0
"dist","010304","desague_red_publica",.875,0
"dist","010304","electricidad",1,0
"dist","010304","cocina_lena",.875,0
"dist","010306","piso_tierra",.3594629,.0745958
"dist","010306","agua_red_publica",.8790601,.0533812
"dist","010306","desague_red_publica",.7222825,.1577794
"dist","010306","electricidad",.8790601,.0533812
"dist","010306","cocina_lena",.7189259,.0745958
"dist","010307","piso_tierra",.1416824,.4101777
"dist","010307","agua_red_publica",.9801081,.0191748
"dist","010307","desague_red_publica",.9204324,.0816718
"dist","010307","electricidad",1,0
"dist","010307","cocina_lena",.4051553,.4312392
"dist","010310","piso_tierra",.25,1.11e-16
"dist","010310","agua_red_publica",1,0
"dist","010310","desague_red_publica",1,0
"dist","010310","electricidad",1,0
"dist","010310","cocina_lena",1,0
"dist","010312","piso_tierra",.3207418,.1639697
"dist","010312","agua_red_publica",.7722586,.1294512
"dist","010312","desague_red_publica",.5953211,.1934836
"dist","010312","electricidad",.9725448,.0266949
"dist","010312","cocina_lena",.8974292,.0064957
"dist","010401","piso_tierra",.5815857,.0971298
"dist","010401","agua_red_publica",.4871851,.1864584
"dist","010401","desague_red_publica",.2000675,.0563948
"dist","010401","electricidad",.4403958,.2586662
"dist","010401","cocina_lena",.8783399,.0520455
"dist","010402","piso_tierra",1,0
"dist","010402","agua_red_publica",.6462973,.3202597
"dist","010402","desague_red_publica",0,
"dist","010402","electricidad",0,
"dist","010402","cocina_lena",1,0
"dist","010403","piso_tierra",.3090943,.4008342
"dist","010403","agua_red_publica",.2955491,.6497942
"dist","010403","desague_red_publica",0,
"dist","010403","electricidad",.2955491,.6497942
"dist","010403","cocina_lena",.9774795,.0241366
"dist","010501","piso_tierra",.4896,.3172112
"dist","010501","agua_red_publica",.9330818,.0644193
"dist","010501","desague_red_publica",.8097812,.1259583
"dist","010501","electricidad",1,0
"dist","010501","cocina_lena",.7464654,.0644193
"dist","010502","piso_tierra",.2598697,.5989451
"dist","010502","agua_red_publica",.918658,.0694166
"dist","010502","desague_red_publica",.7339153,.1061992
"dist","010502","electricidad",.9378502,.0702264
"dist","010502","cocina_lena",1,0
"dist","010503","piso_tierra",1,0
"dist","010503","agua_red_publica",.6428571,.4126984
"dist","010503","desague_red_publica",0,
"dist","010503","electricidad",.7142857,.4571429
"dist","010503","cocina_lena",.8571429,.1428571
"dist","010504","piso_tierra",.75,0
"dist","010504","agua_red_publica",1,0
"dist","010504","desague_red_publica",.625,0
"dist","010504","electricidad",.875,0
"dist","010504","cocina_lena",1,0
"dist","010506","piso_tierra",.75,0
"dist","010506","agua_red_publica",1,0
"dist","010506","desague_red_publica",.875,0
"dist","010506","electricidad",.75,0
"dist","010506","cocina_lena",1,0
"dist","010509","piso_tierra",.25,0
"dist","010509","agua_red_publica",1,0
"dist","010509","desague_red_publica",1,0
"dist","010509","electricidad",1,0
"dist","010509","cocina_lena",.5,0
"dist","010510","piso_tierra",.875,0
"dist","010510","agua_red_publica",.875,0
"dist","010510","desague_red_publica",.625,0
"dist","010510","electricidad",.875,0
"dist","010510","cocina_lena",1,0
"dist","010511","piso_tierra",.625,0
"dist","010511","agua_red_publica",.875,0
"dist","010511","desague_red_publica",.875,0
"dist","010511","electricidad",1,0
"dist","010511","cocina_lena",1,0
"dist","010512","piso_tierra",.5714286,.1010153
"dist","010512","agua_red_publica",.9285714,.0621632
"dist","010512","desague_red_publica",.6428571,.2918218
"dist","010512","electricidad",.8571429,.0168359
"dist","010512","cocina_lena",.8571429,.0168359
"dist","010513","piso_tierra",.875,.1010153
"dist","010513","agua_red_publica",.9375,.0471405
"dist","010513","desague_red_publica",.5,0
"dist","010513","electricidad",.875,0
"dist","010513","cocina_lena",.9375,.0471405
"dist","010514","piso_tierra",.5625,.3928371
"dist","010514","agua_red_publica",.875,0
"dist","010514","desague_red_publica",.125,0
"dist","010514","electricidad",.9375,.0471405
"dist","010514","cocina_lena",.9375,.0471405
"dist","010520","piso_tierra",.7324323,.0172352
"dist","010520","agua_red_publica",.9297293,.0543108
"dist","010520","desague_red_publica",.4013515,.0471791
"dist","010520","electricidad",.9297293,.0543108
"dist","010520","cocina_lena",.8729738,.1012231
"dist","010521","piso_tierra",.7328314,.0703875
"dist","010521","agua_red_publica",.9510921,.0363929
"dist","010521","desague_red_publica",.8160765,.0546434
"dist","010521","electricidad",.9583774,.0469558
"dist","010521","cocina_lena",1,0
"dist","010601","piso_tierra",.2809571,.4097629
"dist","010601","agua_red_publica",.9753579,.0223053
"dist","010601","desague_red_publica",.8602443,.084019
"dist","010601","electricidad",.9616288,.02851
"dist","010601","cocina_lena",.6241009,.1826566
"dist","010602","piso_tierra",.25,1.11e-16
"dist","010602","agua_red_publica",.875,0
"dist","010602","desague_red_publica",.75,3.70e-17
"dist","010602","electricidad",1,0
"dist","010602","cocina_lena",1,0
"dist","010604","piso_tierra",.875,1.98e-18
"dist","010604","agua_red_publica",.75,3.23e-17
"dist","010604","desague_red_publica",0,
"dist","010604","electricidad",1,0
"dist","010604","cocina_lena",.875,1.58e-17
"dist","010605","piso_tierra",.75,1.85e-17
"dist","010605","agua_red_publica",.5,0
"dist","010605","desague_red_publica",0,
"dist","010605","electricidad",.5,0
"dist","010605","cocina_lena",1,0
"dist","010606","piso_tierra",.5,0
"dist","010606","agua_red_publica",1,0
"dist","010606","desague_red_publica",.875,0
"dist","010606","electricidad",.875,0
"dist","010606","cocina_lena",.75,0
"dist","010608","piso_tierra",.25,6.93e-17
"dist","010608","agua_red_publica",.75,4.62e-18
"dist","010608","desague_red_publica",.625,0
"dist","010608","electricidad",1,0
"dist","010608","cocina_lena",.75,3.70e-17
"dist","010609","piso_tierra",.2356754,.2879928
"dist","010609","agua_red_publica",.8229194,.2445765
